t,root_x,root_y,root_z,action_min,action_max,action_mean
5.3420,2.995340,-0.239930,1.853410,-1.406637,2.682964,0.163154
5.3620,3.005241,-0.238474,1.860606,-1.445664,2.600491,0.163669
5.3820,3.015168,-0.236822,1.867354,-1.537427,2.564522,0.156869
5.4020,3.025188,-0.234908,1.872815,-1.676065,2.441241,0.132615
5.4220,3.035357,-0.232824,1.876491,-1.765402,2.427229,0.115729
5.4420,3.045720,-0.230660,1.878173,-1.832019,2.497222,0.104787
5.4620,3.056185,-0.228378,1.878097,-1.846198,2.624647,0.093670
5.4820,3.066627,-0.225949,1.876913,-1.750528,2.851235,0.097213
5.5020,3.076878,-0.223354,1.875468,-1.587702,3.200161,0.110051
5.5220,3.086860,-0.220550,1.874625,-1.409808,3.488177,0.119300
5.5420,3.096589,-0.217517,1.875102,-1.249408,3.685131,0.134671
5.5620,3.106111,-0.214271,1.877268,-1.180155,3.905058,0.154766
5.5820,3.115491,-0.210756,1.881173,-1.072491,4.071542,0.174456
5.6020,3.124728,-0.206858,1.886696,-0.941307,4.124533,0.189172
5.6220,3.133228,-0.202770,1.894182,-0.803297,4.096720,0.198312
5.6420,3.142037,-0.198397,1.903779,-0.535004,3.549899,0.189894
5.6620,3.151591,-0.193180,1.914136,-1.001105,1.201779,0.120861
5.6820,3.161050,-0.187118,1.924037,-1.273618,2.780845,0.120513
5.7020,3.170943,-0.181499,1.933653,-1.219599,3.371817,0.128147
5.7220,3.181827,-0.176919,1.943093,-1.505919,3.582416,0.119083
5.7420,3.193894,-0.172899,1.952752,-1.673315,3.801095,0.118027
5.7620,3.206833,-0.169255,1.962585,-1.599476,3.648405,0.094984
5.7820,3.220143,-0.165753,1.972472,-1.534554,3.017824,0.054085
5.8020,3.233574,-0.162072,1.982505,-1.426019,2.207118,0.014918
5.8220,3.247103,-0.158417,1.992665,-1.068222,1.624568,-0.009885
5.8420,3.260554,-0.154971,2.002844,-1.281655,1.713975,-0.016094
5.8620,3.273978,-0.151859,2.012341,-1.516562,1.693892,-0.010367
5.8820,3.287593,-0.149004,2.020268,-1.656104,1.909029,-0.000508
5.9020,3.301462,-0.146100,2.026120,-1.665445,1.869403,-0.001261
5.9220,3.315486,-0.143025,2.030047,-1.592793,2.216523,-0.009738
5.9420,3.329720,-0.139938,2.032493,-1.379031,2.717268,-0.005564
5.9620,3.344174,-0.137130,2.033950,-0.964406,3.215255,0.014441
5.9820,3.358815,-0.134928,2.034929,-0.959277,3.447093,0.065124
6.0020,3.373784,-0.133609,2.035673,-0.879180,2.261384,0.125538
6.0220,3.389774,-0.133535,2.034810,-0.977172,2.144126,0.147107
6.0420,3.405557,-0.133520,2.031166,-1.398730,2.095309,0.096152
6.0620,3.419642,-0.131883,2.028041,-1.548067,2.165068,0.031466
6.0820,3.431682,-0.129214,2.026336,-1.598014,2.373511,-0.020466
6.1020,3.442323,-0.126297,2.026477,-1.348114,2.606533,-0.039527
6.1220,3.452861,-0.123831,2.027184,-1.258511,2.815291,-0.026334
6.1420,3.463132,-0.121406,2.027845,-1.326729,2.915480,-0.004565
6.1620,3.473180,-0.118809,2.028236,-1.214818,2.488871,-0.007177
6.1820,3.482965,-0.116107,2.028875,-1.258218,2.085959,-0.026714
6.2020,3.492858,-0.113264,2.029788,-1.354895,1.859325,-0.023639
6.2220,3.503157,-0.110134,2.030901,-1.396298,1.635822,-0.020605
6.2420,3.513974,-0.106735,2.032143,-1.418206,1.322413,-0.024015
6.2620,3.525008,-0.103024,2.033773,-1.509724,1.331218,-0.028247
6.2820,3.536294,-0.099067,2.035778,-1.584990,1.335714,-0.030608
6.3020,3.547969,-0.094863,2.037895,-1.612197,1.309941,-0.026677
6.3220,3.559877,-0.090326,2.040258,-1.636040,1.242716,-0.026736
6.3420,3.572165,-0.085571,2.042634,-1.627705,1.157982,-0.029462
6.3620,3.584909,-0.080570,2.044819,-1.590038,1.120650,-0.030356
6.3820,3.598175,-0.075318,2.046591,-1.562905,1.077600,-0.028084
6.4020,3.611757,-0.069745,2.047868,-1.564523,1.036919,-0.028173
6.4220,3.625641,-0.063914,2.048525,-1.539250,0.978634,-0.030027
6.4420,3.639839,-0.057862,2.048495,-1.495607,0.951909,-0.023128
6.4620,3.654316,-0.051547,2.047773,-1.386262,1.054488,-0.006728
6.4820,3.669028,-0.044976,2.046203,-1.256373,1.219442,0.014313
6.5020,3.683948,-0.038098,2.043664,-1.015997,1.386931,0.042323
6.5220,3.699010,-0.030852,2.039930,-0.684005,1.539863,0.081570
6.5420,3.714096,-0.023053,2.034740,-0.728085,1.493586,0.108555
6.5620,3.729445,-0.014422,2.027876,-0.847937,0.983193,0.107948
6.5820,3.745023,-0.005978,2.021165,-1.746995,1.470575,-0.045580
6.6020,3.758729,0.000066,2.018585,-2.059608,1.618056,-0.104719
6.6220,3.771477,0.005711,2.019388,-1.827183,1.208368,-0.059992
6.6420,3.783790,0.011194,2.022086,-1.738408,1.486585,-0.054482
6.6620,3.795709,0.016285,2.025420,-1.567958,1.749895,-0.018276
6.6820,3.807501,0.021055,2.028558,-1.337177,1.936222,0.007875
6.7020,3.819233,0.025509,2.030981,-1.128242,1.976250,0.004784
6.7220,3.830881,0.029478,2.032749,-1.165172,1.801041,0.001573
6.7420,3.842626,0.033069,2.033919,-1.234802,1.226694,-0.004082
6.7620,3.854532,0.036382,2.034939,-1.402795,0.823927,-0.021641
6.7820,3.866704,0.039319,2.035904,-1.565291,1.120458,-0.025682
6.8020,3.879124,0.041904,2.036871,-1.698426,1.335182,-0.031345
6.8220,3.891838,0.044264,2.037818,-1.841616,1.480000,-0.036643
6.8420,3.904858,0.046435,2.038669,-1.959130,1.501156,-0.040910
6.8620,3.918296,0.048407,2.039332,-2.001329,1.446239,-0.044553
6.8820,3.932253,0.050258,2.039786,-1.967825,1.311027,-0.048932
6.9020,3.946732,0.052026,2.039886,-1.875833,1.154687,-0.049974
6.9220,3.961731,0.053796,2.039531,-1.732595,1.208727,-0.046392
